OBJECTID,DISTRICT,NAME,SHAPE__Area,SHAPE__Length
1,009,9th-district-deering,63112571.6015625,35622.0611931771
2,010,10th-district-ogden,36744242.6992188,28802.2310116866
3,002,2nd-district-wentworth,35092665.3320313,26791.4303521035
4,008,8th-district-chicago-lawn,107753201.371094,53384.7413064216
5,003,3rd-district-grand-crossing,28335397.1992188,28901.0091253473
6,007,7th-district-englewood,30363045.4414063,22255.1320173119
7,004,4th-district-south-chicago,126797332.167969,57946.5641478589
8,006,6th-district-gresham,37715579.75,29382.3340041093
10,022,22nd-district-morgan-park,62621133.0976563,48947.8334610979
11,005,5th-district-calumet,59499357.1679688,44806.7256733178
12,024,24th-district-rogers-park,25464202.5625,22801.562376807
13,016,16th-district-jefferson-park,147847902.039063,128597.930316178
14,017,17th-district-albany-park,45088900.71875,28344.7317906489
15,020,20th-district-lincoln,20487395.2265625,20128.4170617783
18,019,19th-district-town-hall,40223344.3164063,36171.5425391725
19,025,25th-district-grand-central,51081471.1953125,32955.0922786845
20,014,14th-district-shakespeare,28100790.4335938,22446.2644905156
21,018,18th-district-near-north,21945916.6132813,32565.8710096892
22,012,12th-district-near-west,45266173.0820313,32953.4473674738
23,015,15th-district-austin,17854416.3671875,17461.3960388345
24,001,1st-district-central,21904148.515625,33483.4982208672
25,011,11th-district-harrison,28553593.5703125,23991.0514550574
