School ID,School Name,School Network,School Year,Time Period,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification
400153,ACERO - BRIGHTON PARK,Charter,2023-2024,EOY,,,,,,,,,,,,,,,,,,,,
400149,ACERO - SOTO HS,Charter,2023-2024,EOY,,,,,,,,,,,,,,,,,,,,
609772,ADDAMS,Network 13,2023-2024,EOY,77.0,58,18,1,2,2.6,,,,,,2,2.6,2,0.4,1,,,,
610513,AIR FORCE HS,Network 16,2023-2024,EOY,123.0,62,59,2,38,30.9,30,24.4,21,18.7,1.1,8,6.5,8,7.1,1.38,3,2.4,3,2.7
610212,ALBANY PARK,Network 1,2023-2024,EOY,46.0,23,18,5,9,19.6,6,13,5,2.2,1,3,6.5,3,1.3,1.33,,,,
609774,ALCOTT ES,Network 4,2023-2024,EOY,23.0,15,8,,2,8.7,,,,,,2,8.7,1,0.2,1.5,,,,
610524,ALCOTT HS,Network 15,2023-2024,EOY,209.0,98,99,12,96,45.9,70,33.5,41,11.3,1.09,26,12.4,19,5.3,1.65,6,2.9,6,1.7
609848,ALDRIDGE,Network 13,2023-2024,EOY,263.0,134,111,18,29,11,16,6.1,14,5.7,1.19,13,4.9,8,3.2,1.46,3,1.1,1,0.4
609695,AMUNDSEN HS,Network 14,2023-2024,EOY,772.0,376,316,80,319,41.3,184,23.8,85,5.8,1.26,135,17.5,69,4.7,2.13,15,1.9,15,1
609951,ARIEL,Network 9,2023-2024,EOY,25.0,14,9,2,1,4,,,,,,1,4,1,0.3,2,3,12,3,0.9
609777,ARMOUR,ISP,2023-2024,EOY,35.0,14,21,,,,,,,,,,,,,,,,,
