School ID,Network,Educational Unit Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,"Free/Reduced
 Lunch N","Free/Reduced
 Lunch %"
610229,Network 6,A.N. Pritzker School,699,53,7.58%,68,9.73%,390,55.79%
610038,Network 4,Abraham Lincoln Elementary School,808,45,5.57%,47,5.82%,103,12.75%
400009,Charter,Academy for Global Citizenship Elementary School,350,68,19.43%,42,12.00%,279,79.71%
610281,Network 12,Adam Clayton Powell Paideia Community Academy ES,564,15,2.66%,66,11.70%,540,95.74%
610185,Network 10,Adlai E Stevenson Elementary School,"1,264",456,36.08%,170,13.45%,"1,194",94.46%
609993,Network 8,Agustin Lara Elementary Academy,540,234,43.33%,44,8.15%,534,98.89%
610513,Military,Air Force Academy High School,369,7,1.90%,34,9.21%,327,88.62%
610334,OS4,Al Raby High School,513,8,1.56%,124,24.17%,390,76.02%
400011,Charter,Alain Locke Charter Elementary Academy,570,0,0.00%,29,5.09%,531,93.16%
610212,Network 1,Albany Park Multicultural Academy,280,45,16.07%,33,11.79%,270,96.43%
609720,Network 4,Albert G Lane Technical High School,"4,120",25,0.61%,163,3.96%,"2,413",58.57%
610342,Network 5,Albert R Sabin Elementary Magnet School,626,111,17.73%,70,11.18%,568,90.73%
610524,Network 4,Alcott High School for the Humanities,281,12,4.27%,86,30.60%,227,80.78%
610209,Network 1,Alessandro Volta Elementary School,"1,034",547,52.90%,95,9.19%,972,94.00%
609808,Network 13,Alex Haley Elementary Academy,651,4,0.61%,69,10.60%,639,98.16%
609799,Network 4,Alexander Graham Bell Elementary School,"1,048",43,4.10%,116,11.07%,158,15.08%
609947,Network 6,Alexander Graham Elementary School,476,54,11.34%,52,10.92%,451,94.75%
609963,Network 4,Alexander Hamilton Elementary School,381,26,6.82%,50,13.12%,134,35.17%
610098,Network 5,Alfred Nobel Elementary School,842,306,36.34%,78,9.26%,833,98.93%
609788,OS4,Alice L Barnard Computer Math & Science Ctr ES,301,0,0.00%,33,10.96%,239,79.40%
400012,Charter,Amandla Charter High School,354,2,0.56%,67,18.93%,338,95.48%
610131,Network 5,Ambrose Plamondon Elementary School,163,39,23.93%,22,13.50%,162,99.39%
610316,Network 12,Amelia Earhart Options for Knowledge ES,263,0,0.00%,22,8.37%,197,74.90%
609780,Network 4,Ames Middle School,542,116,21.40%,58,10.70%,533,98.34%
610339,AUSL,Amos Alonzo Stagg Elementary School,589,1,0.17%,86,14.60%,578,98.13%
609837,OS4,Andrew Carnegie Elementary School,669,1,0.15%,42,6.28%,569,85.05%
610060,Network 6,Andrew Jackson Elementary Language Academy,567,23,4.06%,32,5.64%,224,39.51%
609869,Network 11,Anna R. Langford Community Academy,444,0,0.00%,43,9.68%,441,99.32%
610084,Network 10,Annie Keller Elementary Gifted Magnet School,248,1,0.40%,15,6.05%,42,16.94%
400010,Charter,"Architecture, Construction, and Engineering(ACE)T",481,15,3.12%,89,18.50%,471,97.92%
609951,Network 9,Ariel Elementary Community Academy,565,0,0.00%,60,10.62%,453,80.18%
610171,Network 12,Arnold Mireles Elementary Academy,744,214,28.76%,78,10.48%,728,97.85%
610037,Network 11,Arthur A Libby Elementary School,510,47,9.22%,80,15.69%,504,98.82%
609887,Network 12,Arthur Dixon Elementary School,661,1,0.15%,63,9.53%,583,88.20%
609836,Network 1,Arthur E Canty Elementary School,812,104,12.81%,85,10.47%,387,47.66%
610268,OS4,Arthur R Ashe Elementary School,392,0,0.00%,46,11.73%,372,94.90%
609941,Network 11,Asa Philip Randolph Elementary School,500,4,0.80%,58,11.60%,495,99.00%
610287,Network 10,Ashburn Community Elementary School,475,39,8.21%,80,16.84%,418,88.00%
400060,Charter,Asian Human Services - Passages Charter School,440,124,28.18%,37,8.41%,383,87.05%
400013,Charter,ASPIRA Charter - Early College,568,106,18.66%,103,18.13%,539,94.89%
400017,Charter,ASPIRA Charter - Haugan Campus,565,117,20.71%,66,11.68%,548,96.99%
400015,Charter,ASPIRA Charter - Mirta Ramirez Computer Science,166,29,17.47%,40,24.10%,166,100.00%
609820,Network 4,Augustus H Burley Elementary School,550,26,4.73%,79,14.36%,114,20.73%
400018,Network 3,Austin Business and Entrepreneurship Academy HS,186,0,0.00%,42,22.58%,178,95.70%
610501,Network 3,Austin Polytechnical Academy High School,196,0,0.00%,47,23.98%,193,98.47%
609786,Network 12,Avalon Park Elementary School,308,0,0.00%,22,7.14%,303,98.38%
610563,Network 8,Back of the Yards IB HS,281,66,23.49%,31,11.03%,279,99.29%
610555,Options,Banner Academy West,296,1,0.34%,55,18.58%,281,94.93%
