School ID,School Name,Networks,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
610229,A.N. Pritzker School,Network 6,725,47,6.48%,73,10.07%,386,53.24%
610038,Abraham Lincoln Elementary School,Network 4,824,61,7.40%,54,6.55%,119,14.44%
400009,Academy for Global Citizenship Elementary School,Charter,391,108,27.62%,47,12.02%,306,78.26%
610281,Adam Clayton Powell Paideia Community Academy ES,Network 12,575,22,3.83%,64,11.13%,552,96.00%
610185,Adlai E Stevenson Elementary School,Network 10,"1,275",474,37.18%,177,13.88%,"1,208",94.75%
609993,Agustin Lara Elementary Academy,Network 8,498,176,35.34%,47,9.44%,491,98.59%
610513,Air Force Academy High School,Service Leadership Academies,373,9,2.41%,39,10.46%,327,87.67%
610334,Al Raby High School,OS4,488,7,1.43%,121,24.80%,479,98.16%
400011,Alain Locke Charter Elementary Academy,Charter,581,0,0.00%,39,6.71%,545,93.80%
610212,Albany Park Multicultural Academy,Network 1,269,44,16.36%,33,12.27%,262,97.40%
609720,Albert G Lane Technical High School,Network 4,"4,071",16,0.39%,186,4.57%,"2,384",58.56%
610342,Albert R Sabin Elementary Magnet School,Network 5,604,107,17.72%,57,9.44%,546,90.40%
610524,Alcott High School for the Humanities,Network 4,274,18,6.57%,66,24.09%,219,79.93%
610209,Alessandro Volta Elementary School,Network 1,"1,004",551,54.88%,108,10.76%,959,95.52%
609808,Alex Haley Elementary Academy,Network 13,617,2,0.32%,57,9.24%,600,97.24%
609799,Alexander Graham Bell Elementary School,Network 4,"1,028",35,3.40%,119,11.58%,197,19.16%
609947,Alexander Graham Elementary School,Network 6,486,79,16.26%,44,9.05%,460,94.65%
609963,Alexander Hamilton Elementary School,Network 4,419,18,4.30%,52,12.41%,120,28.64%
610098,Alfred Nobel Elementary School,Network 5,852,320,37.56%,94,11.03%,817,95.89%
609788,Alice L Barnard Computer Math & Science Ctr ES,OS4,307,0,0.00%,39,12.70%,256,83.39%
400012,Amandla Charter High School,Charter,325,3,0.92%,69,21.23%,314,96.62%
610131,Ambrose Plamondon Elementary School,Network 5,145,38,26.21%,19,13.10%,145,100.00%
610316,Amelia Earhart Options for Knowledge ES,Network 12,247,0,0.00%,22,8.91%,186,75.30%
610339,Amos Alonzo Stagg Elementary School,AUSL,558,2,0.36%,74,13.26%,547,98.03%
609837,Andrew Carnegie Elementary School,OS4,609,2,0.33%,49,8.05%,530,87.03%
610060,Andrew Jackson Elementary Language Academy,Network 6,566,51,9.01%,33,5.83%,242,42.76%
609869,Anna R. Langford Community Academy,Network 11,409,3,0.73%,45,11.00%,408,99.76%
610084,Annie Keller Elementary Gifted Magnet School,Network 10,245,2,0.82%,13,5.31%,52,21.22%
400010,"Architecture, Construction, and Engineering(ACE)Technical Charter School",Charter,448,17,3.79%,94,20.98%,438,97.77%
609951,Ariel Elementary Community Academy,Network 9,550,0,0.00%,49,8.91%,455,82.73%
610171,Arnold Mireles Elementary Academy,Network 12,708,170,24.01%,64,9.04%,697,98.45%
610037,Arthur A Libby Elementary School,Network 11,495,55,11.11%,89,17.98%,491,99.19%
609887,Arthur Dixon Elementary School,Network 12,644,4,0.62%,76,11.80%,579,89.91%
609836,Arthur E Canty Elementary School,Network 1,799,134,16.77%,89,11.14%,448,56.07%
610268,Arthur R Ashe Elementary School,OS4,362,1,0.28%,38,10.50%,358,98.90%
609941,Asa Philip Randolph Elementary School,Network 11,501,8,1.60%,58,11.58%,492,98.20%
610287,Ashburn Community Elementary School,Network 10,456,27,5.92%,75,16.45%,407,89.25%
400060,Asian Human Services - Passages Charter School,Charter,456,164,35.96%,38,8.33%,349,76.54%
400013,ASPIRA Charter - Early College,Charter,508,122,24.02%,103,20.28%,482,94.88%
400017,ASPIRA Charter - Haugan Campus,Charter,578,114,19.72%,65,11.25%,568,98.27%
400015,ASPIRA Charter - Mirta Ramirez Computer Science,Charter,77,15,19.48%,21,27.27%,77,100.00%
609820,Augustus H Burley Elementary School,Network 4,518,17,3.28%,75,14.48%,111,21.43%
400018,Austin Business and Entrepreneurship Academy HS,Network 3,150,1,0.67%,37,24.67%,148,98.67%
610501,Austin Polytechnical Academy High School,Network 3,165,1,0.61%,40,24.24%,159,96.36%
609786,Avalon Park Elementary School,Network 12,352,1,0.28%,37,10.51%,339,96.31%
610563,Back of the Yards IB HS,Network 8,550,87,15.82%,48,8.73%,543,98.73%
610555,Banner Academy West,Options,301,0,0.00%,48,15.95%,289,96.01%
609871,Barbara Vick Early Childhood & Family Center,Network 10,327,82,25.08%,126,38.53%,189,57.80%
609922,Belmont-Cragin Elementary School,Network 3,600,363,60.50%,69,11.50%,577,96.17%
609764,Benito Juarez Community Academy High School,OS4,"1,676",238,14.20%,247,14.74%,"1,619",96.60%
610290,Benjamin E Mays Elementary Academy,Network 11,483,0,0.00%,74,15.32%,445,92.13%
610076,Bernhard Moos Elementary School,Network 5,498,150,30.12%,61,12.25%,485,97.39%
400072,Betty Shabazz Intl Charter,Charter,305,0,0.00%,31,10.16%,288,94.43%
400074,Betty Shabazz Intl Charter - Barbara A Sizemore,Charter,268,0,0.00%,28,10.45%,260,97.01%
400073,Betty Shabazz Intl Charter - DuSable Leadership,Charter,145,0,0.00%,28,19.31%,142,97.93%
610175,Beulah Shoesmith Elementary School,Network 9,344,14,4.07%,41,11.92%,302,87.79%
610087,Blair Early Childhood Center,Network 10,195,93,47.69%,172,88.21%,153,78.46%
610323,Bowen High School,OS4,382,21,5.50%,90,23.56%,373,97.64%
609969,Bret Harte Elementary School,Network 9,376,24,6.38%,70,18.62%,303,80.59%
610106,Brian Piccolo Elementary Specialty School,AUSL,531,100,18.83%,78,14.69%,528,99.44%
610317,Brighton Park Elementary School,Network 8,526,183,34.79%,49,9.32%,519,98.67%
400019,Bronzeville Lighthouse Charter Elementary School,Charter,472,0,0.00%,49,10.38%,414,87.71%
610381,Bronzeville Scholastic Academy High School,OS4,487,7,1.44%,66,13.55%,465,95.48%
609821,Burnham Elementary Inclusive Academy,Network 13,572,8,1.40%,67,11.71%,550,96.15%
609827,Burnside Elementary Scholastic Academy,Network 12,600,3,0.50%,71,11.83%,528,88.00%
610353,Calmeca Academy of Fine Arts and Dual Language,Network 8,807,445,55.14%,102,12.64%,780,96.65%
610572,Camelot Safe Academy Elementary,Options,27,0,0.00%,8,29.63%,27,100.00%
610573,Camelot Safe Academy High School,Options,21,0,0.00%,7,33.33%,21,100.00%
609729,Carl Schurz High School,Network 1,"2,302",398,17.29%,408,17.72%,"2,156",93.66%
610039,Carl von Linne Elementary School,Network 4,654,210,32.11%,87,13.30%,619,94.65%
610238,Carrie Jacobs Bond Elementary School,Network 11,367,2,0.54%,81,22.07%,366,99.73%
609839,Carroll-Rosenwald Specialty Elementary School,Network 10,499,3,0.60%,75,15.03%,450,90.18%
610345,Carter G Woodson South Elementary School,Network 9,347,5,1.44%,61,17.58%,336,96.83%
400020,Catalyst Charter ES - Howland,Charter,468,1,0.21%,68,14.53%,460,98.29%
400021,Catalyst Elementary School - Circle Rock,Charter,516,0,0.00%,60,11.63%,500,96.90%
400115,Catalyst-Maria Charter School,Charter,956,159,16.63%,154,16.11%,873,91.32%
610148,Cesar E Chavez Multicultural Academic Center ES,Network 8,959,476,49.64%,103,10.74%,949,98.96%
609679,Charles Allen Prosser Career Academy High School,Network 3,"1,476",59,4.00%,148,10.03%,"1,404",95.12%
610005,Charles Evans Hughes Elementary School,Network 5,308,0,0.00%,32,10.39%,304,98.70%
609966,Charles G Hammond Elementary School,OS4,497,235,47.28%,90,18.11%,491,98.79%
609879,Charles Gates Dawes Elementary School,Network 10,"1,059",222,20.96%,145,13.69%,"1,025",96.79%
610366,Charles H Wacker Elementary School,Network 11,250,0,0.00%,29,11.60%,223,89.20%
610030,Charles Kozminski Elementary Community Academy,Network 9,362,1,0.28%,35,9.67%,333,91.99%
609996,Charles N Holden Elementary School,Network 6,545,117,21.47%,60,11.01%,527,96.70%
609833,Charles P Caldwell Academy of Math & Science ES,Network 12,300,0,0.00%,41,13.67%,264,88.00%
609732,Charles P Steinmetz College Preparatory HS,Network 3,"1,709",244,14.28%,265,15.51%,"1,599",93.56%
609875,Charles R Darwin Elementary School,Network 4,568,224,39.44%,83,14.61%,536,94.37%
609986,Charles R Henderson Elementary School,Network 11,338,4,1.18%,41,12.13%,329,97.34%
609813,Charles S Brownell Elementary School,Network 12,258,0,0.00%,28,10.85%,257,99.61%
609883,Charles S Deneen Elementary School,AUSL,619,1,0.16%,96,15.51%,612,98.87%
610194,Charles Sumner  Math & Science Community Acad ES,Network 5,312,0,0.00%,34,10.90%,297,95.19%
609897,Charles W Earle Elementary School,Network 11,516,1,0.19%,76,14.73%,508,98.45%
610248,Chicago Academy Elementary School,AUSL,612,164,26.80%,81,13.24%,482,78.76%
610340,Chicago Academy High School,AUSL,526,30,5.70%,94,17.87%,446,84.79%
400161,Chicago Charter Collegiate HS,Charter,173,1,0.58%,23,13.29%,157,90.75%
400147,Chicago Excel Academy,Options,374,0,0.00%,31,8.29%,343,91.71%
609753,Chicago High School for Agricultural Sciences,Network 10,690,3,0.43%,127,18.41%,354,51.30%
400022,Chicago High School for the Arts,Contract,577,6,1.04%,48,8.32%,296,51.30%
400023,Chicago Intl Charter - Avalon / South Shore,Charter,402,1,0.25%,40,9.95%,382,95.02%
400024,Chicago Intl Charter - Basil,Charter,634,23,3.63%,66,10.41%,608,95.90%
400025,Chicago Intl Charter - Bucktown,Charter,675,113,16.74%,92,13.63%,563,83.41%
400113,Chicago Intl Charter - Chicago Quest North,Charter,295,14,4.75%,64,21.69%,253,85.76%
400027,Chicago Intl Charter - Irving Park,Charter,536,69,12.87%,47,8.77%,335,62.50%
400108,Chicago Intl Charter - Larry Hawkins,Charter,237,1,0.42%,47,19.83%,225,94.94%
400092,Chicago Intl Charter - Lloyd Bond,Charter,343,4,1.17%,45,13.12%,334,97.38%
400033,Chicago Intl Charter - Longwood,Charter,"1,266",1,0.08%,188,14.85%,"1,129",89.18%
400026,Chicago Intl Charter - Loomis Primary,Charter,578,1,0.17%,52,9.00%,479,82.87%
400034,Chicago Intl Charter - Northtown,Charter,860,67,7.79%,174,20.23%,705,81.98%
400028,Chicago Intl Charter - Prairie,Charter,405,115,28.40%,50,12.35%,399,98.52%
400032,Chicago Intl Charter - Ralph Ellison,Charter,479,0,0.00%,64,13.36%,447,93.32%
400029,Chicago Intl Charter - Washington Park,Charter,432,0,0.00%,39,9.03%,423,97.92%
400030,Chicago Intl Charter - West Belden,Charter,501,190,37.92%,73,14.57%,480,95.81%
400031,Chicago Intl Charter - Wrightwood,Charter,731,3,0.41%,62,8.48%,608,83.17%
400035,Chicago Math and Science Academy High School,Charter,606,72,11.88%,61,10.07%,564,93.07%
609754,Chicago Military Academy High School,Service Leadership Academies,395,8,2.03%,40,10.13%,375,94.94%
400091,Chicago Technology Academy High School,Contract,377,10,2.65%,75,19.89%,351,93.10%
400036,Chicago Virtual Charter High School,Charter,682,26,3.81%,82,12.02%,497,72.87%
609674,Chicago Vocational Career Academy High School,OS4,953,10,1.05%,257,26.97%,910,95.49%
609899,Christian Ebinger Elementary School,Network 1,711,32,4.50%,94,13.22%,137,19.27%
609705,Christian Fenger Academy High School,Network 13,333,1,0.30%,67,20.12%,325,97.60%
400159,Christopher Charter House ES,Charter,167,111,66.47%,17,10.18%,151,90.42%
609863,Christopher Columbus Elementary School,Network 5,285,99,34.74%,13,4.56%,219,76.84%
609790,Clara Barton Elementary School,Network 11,531,1,0.19%,66,12.43%,477,89.83%
610347,Claremont Academy Elementary School,Network 10,503,22,4.37%,91,18.09%,501,99.60%
610499,Collins Academy High School,AUSL,419,1,0.24%,84,20.05%,413,98.57%
610170,Columbia Explorers Elementary Academy,Network 8,"1,098",402,36.61%,102,9.29%,"1,076",98.00%
400038,Community Services West Academy,Options,156,0,0.00%,9,5.77%,104,66.67%
609748,Consuella B York Alternative High School,Options,341,3,0.88%,88,25.81%,330,96.77%
610004,Countee Cullen Elementary School,Network 13,243,2,0.82%,32,13.17%,236,97.12%
609781,Crispus Attucks Elementary School,Network 9,132,0,0.00%,24,18.18%,131,99.24%
