Network,School ID,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
Network 1,610212,Albany Park Multicultural Academy,277,55,19.86%,42,15.16%,264,95.31%
Network 1,610209,Alessandro Volta Elementary School,921,527,57.22%,99,10.75%,842,91.42%
Network 1,609836,Arthur E Canty Elementary School,849,145,17.08%,104,12.25%,404,47.59%
Network 1,609729,Carl Schurz High School,"1,812",331,18.27%,336,18.54%,"1,649",91.00%
Network 1,610083,Daniel C Beard Elementary School,173,77,44.51%,114,65.90%,95,54.91%
Network 1,610564,Disney II Magnet High School,730,7,0.96%,77,10.55%,432,59.18%
Network 1,610515,Disney II Magnet School,428,58,13.55%,36,8.41%,108,25.23%
Network 1,610523,Edison Park Elementary School,564,46,8.16%,91,16.13%,102,18.09%
Network 1,610137,Ernst Prussing Elementary School,705,201,28.51%,85,12.06%,463,65.67%
Network 1,609874,Everett McKinley Dirksen Elementary School,884,409,46.27%,102,11.54%,585,66.18%
Network 1,610163,Frederick Stock Elementary School,239,28,11.72%,104,43.51%,39,16.32%
Network 1,609737,Friedrich W von Steuben Metropolitan Science HS,"1,737",37,2.13%,98,5.64%,"1,302",74.96%
Network 1,609857,Grover Cleveland Elementary School,615,233,37.89%,157,25.53%,524,85.20%
Network 1,610182,Hannah G Solomon Elementary School,360,113,31.39%,82,22.78%,199,55.28%
Network 1,609972,Helge A Haugan Elementary School,957,616,64.37%,119,12.43%,847,88.51%
Network 1,609798,Hiram H Belding Elementary School,559,126,22.54%,56,10.02%,362,64.76%
Network 1,609766,Jacqueline B Vaughn Occupational High School,206,87,42.23%,206,100.00%,157,76.21%
Network 1,609912,James B Farnsworth Elementary School,638,214,33.54%,171,26.80%,399,62.54%
Network 1,609796,Jean Baptiste Beaubien Elementary School,"1,101",198,17.98%,111,10.08%,540,49.05%
Network 1,610089,John B Murphy Elementary School,561,155,27.63%,88,15.69%,442,78.79%
Network 1,610111,John Palmer Elementary School,833,281,33.73%,104,12.48%,636,76.35%
Network 1,609937,John W Garvy Elementary School,790,164,20.76%,97,12.28%,318,40.25%
Network 1,610159,Jonathan Y Scammon Elementary School,800,311,38.88%,89,11.13%,723,90.38%
Network 1,610127,Mary Gage Peterson Elementary School,879,276,31.40%,109,12.40%,629,71.56%
Network 1,609792,Newton Bateman Elementary School,"1,061",385,36.29%,132,12.44%,900,84.83%
Network 1,609810,Norman A Bridge Elementary School,"1,105",274,24.80%,115,10.41%,722,65.34%
Network 1,610354,North River Elementary School,327,157,48.01%,74,22.63%,268,81.96%
Network 1,609749,Northside College Preparatory High School,"1,069",9,0.84%,63,5.89%,441,41.25%
Network 1,609744,Northside Learning Center High School,228,104,45.61%,228,100.00%,185,81.14%
Network 1,610099,Norwood Park Elementary School,411,29,7.06%,62,15.09%,73,17.76%
Network 1,610201,Ole A Thorp Elementary Scholastic Academy,840,73,8.69%,91,10.83%,379,45.12%
Network 1,610105,Oriole Park Elementary School,733,73,9.96%,82,11.19%,158,21.56%
Network 1,609988,Patrick Henry Elementary School,548,282,51.46%,70,12.77%,473,86.31%
Network 1,610145,Peter A Reinberg Elementary School,852,318,37.32%,174,20.42%,647,75.94%
Network 1,610135,Portage Park Elementary School,933,126,13.50%,122,13.08%,713,76.42%
Network 1,609995,Rufus M Hitch Elementary School,593,139,23.44%,82,13.83%,325,54.81%
