School ID,Network,School Name,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
609772,ADDAMS,ISP, 553 , 223 ,40.3%, 59 ,10.7%, 422 ,76.3%
610513,AIR FORCE HS,Network 16, 142 , 25 ,17.6%, 14 ,9.9%, 126 ,88.7%
610212,ALBANY PARK,Network 1, 221 , 105 ,47.5%, 27 ,12.2%, 198 ,89.6%
609774,ALCOTT ES,Network 4, 602 , 28 ,4.7%, 68 ,11.3%, 66 ,11.0%
610524,ALCOTT HS,Network 15, 346 , 82 ,23.7%, 122 ,35.3%, 271 ,78.3%
609848,ALDRIDGE,Network 13, 234 , 2 ,0.9%, 36 ,15.4%, 206 ,88.0%
609695,AMUNDSEN HS,ISP," 1,497 ", 160 ,10.7%, 245 ,16.4%, 669 ,44.7%
609951,ARIEL,Network 9, 354 , 3 ,0.8%, 65 ,18.4%, 286 ,80.8%
609777,ARMOUR,ISP, 248 , 62 ,25.0%, 35 ,14.1%, 184 ,74.2%
609779,ARMSTRONG G,ISP," 1,258 ", 550 ,43.7%, 149 ,11.8%, 973 ,77.3%
610287,ASHBURN,Network 10, 350 , 33 ,9.4%, 63 ,18.0%, 288 ,82.3%
610268,ASHE,Network 12, 355 , 2 ,0.6%, 41 ,11.5%, 287 ,80.8%
609782,AUDUBON,Network 4, 574 , 27 ,4.7%, 49 ,8.5%, 62 ,10.8%
610518,AUSTIN CCA HS,Network 15, 167 , 3 ,1.8%, 48 ,28.7%, 158 ,94.6%
609786,AVALON PARK,Network 12, 226 , 0 ,0.0%, 23 ,10.2%, 188 ,83.2%
610325,AVONDALE-LOGANDALE,Network 4, 509 , 224 ,44.0%, 78 ,15.3%, 428 ,84.1%
610544,AZUELA,ISP, 709 , 291 ,41.0%, 94 ,13.3%, 543 ,76.6%
610563,BACK OF THE YARDS HS,ISP," 1,004 ", 313 ,31.2%, 94 ,9.4%, 935 ,93.1%
609788,BARNARD,Network 10, 263 , 4 ,1.5%, 36 ,13.7%, 199 ,75.7%
609789,BARRY,Network 4, 440 , 278 ,63.2%, 71 ,16.1%, 351 ,79.8%
609790,BARTON,Network 11, 384 , 12 ,3.1%, 76 ,19.8%, 310 ,80.7%
609791,BASS,Network 11, 347 , 8 ,2.3%, 43 ,12.4%, 309 ,89.0%
609792,BATEMAN,Network 1, 891 , 363 ,40.7%, 133 ,14.9%, 549 ,61.6%
610083,BEARD,Network 1, 249 , 84 ,33.7%, 141 ,56.6%, 77 ,30.9%
610246,BEASLEY,Network 9," 1,064 ", 3 ,0.3%, 103 ,9.7%, 809 ,76.0%
609796,BEAUBIEN,Network 1, 960 , 170 ,17.7%, 141 ,14.7%, 385 ,40.1%
610237,BEETHOVEN,Network 9, 264 , 2 ,0.8%, 48 ,18.2%, 200 ,75.8%
609797,BEIDLER,Network 5, 260 , 3 ,1.2%, 34 ,13.1%, 232 ,89.2%
609798,BELDING,Network 1, 550 , 106 ,19.3%, 75 ,13.6%, 263 ,47.8%
609799,BELL,Network 4, 885 , 54 ,6.1%, 83 ,9.4%, 132 ,14.9%
609922,BELMONT-CRAGIN,Network 3, 491 , 342 ,69.7%, 79 ,16.1%, 343 ,69.9%
609800,BENNETT,Network 13, 267 , 0 ,0.0%, 24 ,9.0%, 201 ,75.3%
610350,BLACK,Network 12, 399 , 2 ,0.5%, 40 ,10.0%, 276 ,69.2%
609803,BLAINE,Network 4, 634 , 21 ,3.3%, 85 ,13.4%, 73 ,11.5%
610087,BLAIR,Network 10, 228 , 53 ,23.2%, 156 ,68.4%, 94 ,41.2%
609698,BOGAN HS,Network 16, 641 , 120 ,18.7%, 159 ,24.8%, 580 ,90.5%
610238,BOND,Network 11, 226 , 3 ,1.3%, 57 ,25.2%, 191 ,84.5%
609804,BOONE,Network 2, 714 , 420 ,58.8%, 75 ,10.5%, 564 ,79.0%
609815,BOUCHET,Network 12, 597 , 3 ,0.5%, 80 ,13.4%, 487 ,81.6%
610323,BOWEN HS,Network 17, 197 , 18 ,9.1%, 68 ,34.5%, 187 ,94.9%
609806,BRADWELL,Network 12, 420 , 4 ,1.0%, 52 ,12.4%, 351 ,83.6%
610242,BRENNEMANN,Network 2, 434 , 166 ,38.2%, 96 ,22.1%, 331 ,76.3%
609809,BRENTANO,Network 4, 691 , 81 ,11.7%, 68 ,9.8%, 267 ,38.6%
609810,BRIDGE,Network 1," 1,085 ", 320 ,29.5%, 142 ,13.1%, 591 ,54.5%
609811,BRIGHT,Network 13, 228 , 41 ,18.0%, 62 ,27.2%, 193 ,84.6%
610317,BRIGHTON PARK,Network 8, 277 , 157 ,56.7%, 47 ,17.0%, 241 ,87.0%
610590,BRONZEVILLE CLASSICAL,Network 9, 395 , 2 ,0.5%, 12 ,3.0%, 75 ,19.0%
610381,BRONZEVILLE HS,Network 17, 73 , 1 ,1.4%, 20 ,27.4%, 68 ,93.2%
609726,BROOKS HS,ISP, 977 , 1 ,0.1%, 72 ,7.4%, 642 ,65.7%
610091,BROWN R,Network 13, 292 , 0 ,0.0%, 61 ,20.9%, 230 ,78.8%
609812,BROWN W,Network 6, 209 , 7 ,3.3%, 63 ,30.1%, 157 ,75.1%
609813,BROWNELL,Network 12, 135 , 1 ,0.7%, 13 ,9.6%, 114 ,84.4%
609830,BRUNSON,Network 3, 420 , 40 ,9.5%, 78 ,18.6%, 332 ,79.0%
609817,BUDLONG,ISP, 675 , 236 ,35.0%, 77 ,11.4%, 374 ,55.4%
609818,BURBANK,Network 3, 698 , 375 ,53.7%, 135 ,19.3%, 571 ,81.8%
609819,BURKE,Network 9, 280 , 1 ,0.4%, 37 ,13.2%, 220 ,78.6%
609820,BURLEY,ISP, 493 , 10 ,2.0%, 67 ,13.6%, 67 ,13.6%
609821,BURNHAM,Network 13, 429 , 11 ,2.6%, 70 ,16.3%, 359 ,83.7%
609827,BURNSIDE,Network 12, 308 , 2 ,0.6%, 57 ,18.5%, 228 ,74.0%
609828,BURR,Network 6, 479 , 37 ,7.7%, 58 ,12.1%, 130 ,27.1%
609829,BURROUGHS,Network 8, 320 , 141 ,44.1%, 41 ,12.8%, 282 ,88.1%
609832,BYRNE,Network 10, 614 , 84 ,13.7%, 115 ,18.7%, 320 ,52.1%
609833,CALDWELL,ISP, 205 , 0 ,0.0%, 28 ,13.7%, 163 ,79.5%
610353,CALMECA,Network 8, 614 , 401 ,65.3%, 105 ,17.1%, 509 ,82.9%
609835,CAMERON,Network 5, 565 , 215 ,38.1%, 75 ,13.3%, 502 ,88.8%
610539,CAMRAS,ISP, 775 , 354 ,45.7%, 126 ,16.3%, 604 ,77.9%
609836,CANTY,Network 1, 797 , 235 ,29.5%, 141 ,17.7%, 356 ,44.7%
610024,CARDENAS,ISP, 818 , 330 ,40.3%, 159 ,19.4%, 699 ,85.5%
609837,CARNEGIE,Network 9, 439 , 4 ,0.9%, 73 ,16.6%, 346 ,78.8%
609839,CARROLL,Network 10, 417 , 27 ,6.5%, 71 ,17.0%, 324 ,77.7%
609842,CARSON,ISP, 791 , 532 ,67.3%, 67 ,8.5%, 667 ,84.3%
609844,CARTER,Network 9, 295 , 2 ,0.7%, 17 ,5.8%, 247 ,83.7%
609845,CARVER G,Network 13, 461 , 0 ,0.0%, 48 ,10.4%, 408 ,88.5%
609760,CARVER MILITARY HS,Network 17, 412 , 56 ,13.6%, 48 ,11.7%, 375 ,91.0%
610021,CASALS,Network 5, 349 , 86 ,24.6%, 41 ,11.7%, 285 ,81.7%
609849,CASSELL,ISP, 351 , 21 ,6.0%, 96 ,27.4%, 70 ,19.9%
610251,CATHER,Network 5, 340 , 5 ,1.5%, 90 ,26.5%, 290 ,85.3%
609851,CHALMERS,Network 5, 218 , 5 ,2.3%, 39 ,17.9%, 184 ,84.4%
609852,CHAPPELL,Network 2, 541 , 78 ,14.4%, 86 ,15.9%, 196 ,36.2%
609853,CHASE,Network 4, 376 , 162 ,43.1%, 106 ,28.2%, 252 ,67.0%
610148,CHAVEZ,ISP, 823 , 349 ,42.4%, 87 ,10.6%, 708 ,86.0%
610248,CHICAGO ACADEMY ES,AUSL, 565 , 201 ,35.6%, 92 ,16.3%, 391 ,69.2%
610340,CHICAGO ACADEMY HS,AUSL, 552 , 113 ,20.5%, 108 ,19.6%, 456 ,82.6%
609753,CHICAGO AGRICULTURE HS,ISP, 791 , 29 ,3.7%, 177 ,22.4%, 412 ,52.1%
609754,CHICAGO MILITARY HS,Network 17, 228 , 32 ,14.0%, 30 ,13.2%, 206 ,90.4%
609674,CHICAGO VOCATIONAL HS,Network 17, 626 , 16 ,2.6%, 195 ,31.2%, 588 ,93.9%
610060,Chicago World Language Academy,Network 6, 454 , 77 ,17.0%, 49 ,10.8%, 174 ,38.3%
609854,CHOPIN,Network 5, 267 , 78 ,29.2%, 68 ,25.5%, 229 ,85.8%
609855,CHRISTOPHER,Network 8, 331 , 193 ,58.3%, 176 ,53.2%, 296 ,89.4%
610347,CLAREMONT,Network 10, 340 , 47 ,13.8%, 83 ,24.4%, 296 ,87.1%
609795,CLARK ES,ISP, 146 , 20 ,13.7%, 14 ,9.6%, 116 ,79.5%
610244,CLARK HS,ISP, 460 , 7 ,1.5%, 104 ,22.6%, 456 ,99.1%
609856,CLAY,Network 13, 539 , 171 ,31.7%, 55 ,10.2%, 429 ,79.6%
609759,CLEMENTE HS,Network 15, 594 , 133 ,22.4%, 166 ,27.9%, 539 ,90.7%
609857,CLEVELAND,Network 1, 462 , 199 ,43.1%, 141 ,30.5%, 322 ,69.7%
609859,CLINTON,ISP," 1,006 ", 624 ,62.0%, 88 ,8.7%, 774 ,76.9%
609861,CLISSOLD,Network 10, 391 , 8 ,2.0%, 93 ,23.8%, 178 ,45.5%
610199,COLEMON,Network 13, 193 , 8 ,4.1%, 29 ,15.0%, 141 ,73.1%
609862,COLES,Network 12, 263 , 11 ,4.2%, 33 ,12.5%, 206 ,78.3%
610499,COLLINS HS,AUSL, 223 , 0 ,0.0%, 54 ,24.2%, 215 ,96.4%
610170,COLUMBIA EXPLORERS,ISP, 748 , 346 ,46.3%, 131 ,17.5%, 587 ,78.5%
609863,COLUMBUS,ISP, 278 , 108 ,38.8%, 12 ,4.3%, 121 ,43.5%
609864,COOK,Network 11, 318 , 8 ,2.5%, 37 ,11.6%, 276 ,86.8%
609866,COONLEY,Network 2, 791 , 25 ,3.2%, 86 ,10.9%, 77 ,9.7%
609867,COOPER,Network 7, 408 , 236 ,57.8%, 57 ,14.0%, 362 ,88.7%
609870,CORKERY,ISP, 430 , 237 ,55.1%, 80 ,18.6%, 375 ,87.2%
609761,CORLISS HS,Network 17, 300 , 7 ,2.3%, 92 ,30.7%, 280 ,93.3%
610355,COURTENAY,Network 2, 211 , 67 ,31.8%, 84 ,39.8%, 170 ,80.6%
610561,CRANE MEDICAL HS,Network 15, 313 , 6 ,1.9%, 33 ,10.5%, 293 ,93.6%
609873,CROWN,Network 5, 125 , 4 ,3.2%, 18 ,14.4%, 117 ,93.6%
610003,CUFFE,Network 11, 228 , 0 ,0.0%, 35 ,15.4%, 173 ,75.9%
610004,CULLEN,Network 13, 164 , 1 ,0.6%, 23 ,14.0%, 139 ,84.8%
609756,CURIE HS,Network 15," 2,935 ", 709 ,24.2%, 313 ,10.7%," 2,631 ",89.6%
609900,CURTIS,Network 13, 376 , 5 ,1.3%, 42 ,11.2%, 324 ,86.2%
610239,DALEY,Network 8, 488 , 291 ,59.6%, 52 ,10.7%, 415 ,85.0%
609875,DARWIN,Network 4, 504 , 205 ,40.7%, 98 ,19.4%, 366 ,72.6%
610521,DAVIS M,ISP, 133 , 11 ,8.3%, 27 ,20.3%, 94 ,70.7%
609876,DAVIS N,Network 8, 515 , 301 ,58.4%, 94 ,18.3%, 422 ,81.9%
609879,DAWES,Network 10, 985 , 306 ,31.1%, 158 ,16.0%, 850 ,86.3%
610313,DE DIEGO,Network 5, 420 , 64 ,15.2%, 90 ,21.4%, 343 ,81.7%
609880,DECATUR,Network 2, 323 , 2 ,0.6%, 25 ,7.7%, 38 ,11.8%
609883,DENEEN,Network 12, 465 , 2 ,0.4%, 60 ,12.9%, 390 ,83.9%
610367,DEPRIEST,Network 3, 465 , 8 ,1.7%, 100 ,21.5%, 391 ,84.1%
610252,DETT,Network 6, 247 , 6 ,2.4%, 78 ,31.6%, 201 ,81.4%
609884,DEVER,Network 1, 734 , 270 ,36.8%, 84 ,11.4%, 393 ,53.5%
610402,DEVRY HS,Network 14, 134 , 3 ,2.2%, 4 ,3.0%, 100 ,74.6%
609885,DEWEY,Network 8, 242 , 17 ,7.0%, 29 ,12.0%, 214 ,88.4%
609874,DIRKSEN,Network 1," 1,047 ", 599 ,57.2%, 108 ,10.3%, 686 ,65.5%
610363,DISNEY,Network 2," 1,461 ", 228 ,15.6%, 132 ,9.0%, 857 ,58.7%
610515,DISNEY II ES,Network 14, 434 , 38 ,8.8%, 48 ,11.1%, 138 ,31.8%
610564,DISNEY II HS,Network 14, 752 , 80 ,10.6%, 105 ,14.0%, 491 ,65.3%
609887,DIXON,Network 12, 464 , 6 ,1.3%, 43 ,9.3%, 348 ,75.0%
609891,DOOLITTLE,Network 9, 260 , 0 ,0.0%, 42 ,16.2%, 228 ,87.7%
609893,DORE,Network 10, 720 , 148 ,20.6%, 153 ,21.3%, 357 ,49.6%
610245,DOUGLASS HS,Network 15, 34 , 1 ,2.9%, 12 ,35.3%, 34 ,100.0%
609894,DRAKE,Network 9, 243 , 5 ,2.1%, 46 ,18.9%, 214 ,88.1%
609896,DRUMMOND,Network 6, 305 , 25 ,8.2%, 40 ,13.1%, 45 ,14.8%
610364,DUBOIS,Network 13, 202 , 3 ,1.5%, 37 ,18.3%, 162 ,80.2%
610263,DULLES,Network 9, 668 , 0 ,0.0%, 72 ,10.8%, 576 ,86.2%
609676,DUNBAR HS,Network 17, 459 , 7 ,1.5%, 106 ,23.1%, 444 ,96.7%
610188,DUNNE,Network 13, 206 , 0 ,0.0%, 23 ,11.2%, 153 ,74.3%
610352,DURKIN PARK,Network 10, 664 , 244 ,36.7%, 107 ,16.1%, 486 ,73.2%
610254,DVORAK,Network 7, 273 , 1 ,0.4%, 39 ,14.3%, 237 ,86.8%
610587,DYETT ARTS HS,Network 17, 520 , 2 ,0.4%, 84 ,16.2%, 473 ,91.0%
610316,EARHART,Network 12, 193 , 1 ,0.5%, 16 ,8.3%, 123 ,63.7%
609897,EARLE,Network 11, 251 , 21 ,8.4%, 40 ,15.9%, 217 ,86.5%
609898,EBERHART,Network 10," 1,028 ", 534 ,51.9%, 112 ,10.9%, 885 ,86.1%
609899,EBINGER,Network 1, 729 , 41 ,5.6%, 122 ,16.7%, 112 ,15.4%
609901,EDGEBROOK,Network 1, 455 , 52 ,11.4%, 59 ,13.0%, 64 ,14.1%
609794,EDISON,Network 1, 263 , 0 ,0.0%, 16 ,6.1%, 27 ,10.3%
610523,EDISON PARK,Network 1, 413 , 44 ,10.7%, 90 ,21.8%, 62 ,15.0%
609903,EDWARDS,Network 8," 1,250 ", 732 ,58.6%, 195 ,15.6%, 973 ,77.8%
609904,ELLINGTON,Network 3, 435 , 5 ,1.1%, 78 ,17.9%, 349 ,80.2%
610592,ENGLEWOOD STEM HS,Network 16, 778 , 47 ,6.0%, 181 ,23.3%, 738 ,94.9%
609907,ERICSON,Network 5, 367 , 0 ,0.0%, 28 ,7.6%, 314 ,85.6%
609908,ESMOND,Network 10, 247 , 1 ,0.4%, 40 ,16.2%, 205 ,83.0%
609909,EVERETT,ISP, 118 , 52 ,44.1%, 26 ,22.0%, 78 ,66.1%
610319,EVERGREEN,Network 8, 201 , 67 ,33.3%, 29 ,14.4%, 171 ,85.1%
610362,EVERS,Network 11, 212 , 2 ,0.9%, 24 ,11.3%, 155 ,73.1%
610057,FAIRFIELD,Network 10, 469 , 276 ,58.8%, 61 ,13.0%, 422 ,90.0%
609910,FALCONER,Network 3, 884 , 363 ,41.1%, 161 ,18.2%, 712 ,80.5%
610055,FARADAY,Network 5, 160 , 1 ,0.6%, 22 ,13.8%, 141 ,88.1%
609912,FARNSWORTH,Network 1, 473 , 197 ,41.6%, 133 ,28.1%, 261 ,55.2%
609704,FARRAGUT HS,Network 16, 445 , 159 ,35.7%, 124 ,27.9%, 431 ,96.9%
609705,FENGER HS,Network 17, 230 , 4 ,1.7%, 47 ,20.4%, 209 ,90.9%
609917,FERNWOOD,Network 13, 265 , 1 ,0.4%, 28 ,10.6%, 221 ,83.4%
609918,FIELD,Network 2, 150 , 58 ,38.7%, 31 ,20.7%, 127 ,84.7%
609967,FINKL,Network 7, 208 , 94 ,45.2%, 61 ,29.3%, 191 ,91.8%
609919,FISKE,Network 9, 338 , 7 ,2.1%, 43 ,12.7%, 275 ,81.4%
609708,FOREMAN HS,Network 14, 571 , 232 ,40.6%, 130 ,22.8%, 508 ,89.0%
609924,FORT DEARBORN,Network 11, 328 , 0 ,0.0%, 63 ,19.2%, 255 ,77.7%
609927,FOSTER PARK,Network 11, 294 , 0 ,0.0%, 81 ,27.6%, 224 ,76.2%
609926,FRANKLIN,Network 4, 368 , 10 ,2.7%, 32 ,8.7%, 162 ,44.0%
610503,FRAZIER PROSPECTIVE,ISP, 131 , 4 ,3.1%, 16 ,12.2%, 107 ,81.7%
609928,FULLER,Network 9, 311 , 0 ,0.0%, 48 ,15.4%, 252 ,81.0%
609929,FULTON,Network 8, 293 , 131 ,44.7%, 60 ,20.5%, 251 ,85.7%
609930,FUNSTON,Network 4, 414 , 207 ,50.0%, 93 ,22.5%, 356 ,86.0%
609709,GAGE PARK HS,Network 16, 338 , 117 ,34.6%, 64 ,18.9%, 307 ,90.8%
609933,GALE,Network 2, 215 , 61 ,28.4%, 68 ,31.6%, 177 ,82.3%
