School ID, School Name , Network ,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
400153,ACERO - BRIGHTON PARK,Charter,466,268,57.5%,62,13.3%,388,83.3%
400101,ACERO - CISNEROS,Charter,353,208,58.9%,60,17.0%,298,84.4%
400120,ACERO - CLEMENTE,Charter,466,224,48.1%,81,17.4%,379,81.3%
400121,ACERO - DE LA CRUZ,Charter,497,210,42.3%,89,17.9%,416,83.7%
400081,ACERO - DE LAS CASAS,Charter,223,134,60.1%,44,19.7%,189,84.8%
400082,ACERO - FUENTES,Charter,394,212,53.8%,65,16.5%,328,83.2%
400085,ACERO - GARCIA HS,Charter,623,269,43.2%,111,17.8%,560,89.9%
400112,ACERO - IDAR,Charter,524,335,63.9%,63,12.0%,409,78.1%
400089,ACERO - MARQUEZ,Charter,517,338,65.4%,76,14.7%,452,87.4%
400083,ACERO - PAZ,Charter,125,89,71.2%,25,20.0%,115,92.0%
400114,ACERO - SANTIAGO,Charter,221,111,50.2%,39,17.6%,181,81.9%
400149,ACERO - SOTO HS,Charter,565,290,51.3%,98,17.3%,431,76.3%
400084,ACERO - TAMAYO,Charter,269,170,63.2%,40,14.9%,227,84.4%
400080,ACERO - TORRES,Charter,544,332,61.0%,66,12.1%,464,85.3%
400079,ACERO - ZIZUMBO,Charter,531,292,55.0%,56,10.5%,419,78.9%
609772,ADDAMS,Network 13,531,251,47.3%,73,13.7%,385,72.5%
400060,AHS - PASSAGES,Charter,353,159,45.0%,34,9.6%,239,67.7%
610513,AIR FORCE HS,Network 16,118,30,25.4%,23,19.5%,99,83.9%
610212,ALBANY PARK,Network 1,228,131,57.5%,26,11.4%,189,82.9%
609774,ALCOTT ES,Network 4,572,35,6.1%,62,10.8%,61,10.7%
610524,ALCOTT HS,Network 15,371,114,30.7%,135,36.4%,287,77.4%
609848,ALDRIDGE,Network 13,242,2,0.8%,37,15.3%,193,79.8%
609695,AMUNDSEN HS,Network 14,1503,205,13.6%,241,16.0%,690,45.9%
609951,ARIEL,Network 9,354,5,1.4%,69,19.5%,287,81.1%
609777,ARMOUR,ISP,241,68,28.2%,41,17.0%,170,70.5%
609779,ARMSTRONG G,ISP,1253,587,46.8%,159,12.7%,951,75.9%
400181,ART IN MOTION,Charter,543,4,0.7%,97,17.9%,518,95.4%
610287,ASHBURN,Network 10,329,39,11.9%,71,21.6%,260,79.0%
610268,ASHE,Network 12,360,6,1.7%,37,10.3%,287,79.7%
400172,ASPIRA - BUSINESS & FINANCE HS,Charter,492,250,50.8%,118,24.0%,440,89.4%
400013,ASPIRA - EARLY COLLEGE HS,Charter,257,154,59.9%,46,17.9%,223,86.8%
400017,ASPIRA - HAUGAN,Charter,82,46,56.1%,10,12.2%,68,82.9%
609782,AUDUBON,Network 4,608,33,5.4%,56,9.2%,58,9.5%
610518,AUSTIN CCA HS,Network 15,172,4,2.3%,42,24.4%,153,89.0%
609786,AVALON PARK,Network 12,189,0,0.0%,26,13.8%,156,82.5%
610325,AVONDALE-LOGANDALE,Network 4,492,214,43.5%,90,18.3%,416,84.6%
610544,AZUELA,ISP,697,320,45.9%,105,15.1%,509,73.0%
610563,BACK OF THE YARDS HS,ISP,1001,374,37.4%,90,9.0%,938,93.7%
609788,BARNARD,Network 10,245,4,1.6%,44,18.0%,174,71.0%
609789,BARRY,Network 4,475,331,69.7%,89,18.7%,358,75.4%
609790,BARTON,Network 11,395,24,6.1%,85,21.5%,342,86.6%
609791,BASS,Network 11,289,5,1.7%,41,14.2%,248,85.8%
609792,BATEMAN,Network 1,901,350,38.8%,138,15.3%,532,59.0%
610083,BEARD,Network 1,348,141,40.5%,160,46.0%,79,22.7%
610246,BEASLEY,Network 9,1018,5,0.5%,108,10.6%,734,72.1%
609796,BEAUBIEN,Network 1,1021,198,19.4%,154,15.1%,377,36.9%
610237,BEETHOVEN,Network 9,336,37,11.0%,59,17.6%,247,73.5%
609797,BEIDLER,Network 5,256,3,1.2%,34,13.3%,215,84.0%
609798,BELDING,Network 1,553,109,19.7%,89,16.1%,241,43.6%
609799,BELL,Network 4,850,55,6.5%,93,10.9%,119,14.0%
609922,BELMONT-CRAGIN,Network 3,525,388,73.9%,92,17.5%,375,71.4%
609800,BENNETT,Network 13,263,0,0.0%,27,10.3%,195,74.1%
610350,BLACK,Network 12,356,2,0.6%,39,11.0%,208,58.4%
609803,BLAINE,Network 4,628,28,4.5%,84,13.4%,63,10.0%
610087,BLAIR,Network 10,256,64,25.0%,179,69.9%,105,41.0%
609698,BOGAN HS,Network 16,574,128,22.3%,144,25.1%,496,86.4%
610238,BOND,Network 11,260,9,3.5%,63,24.2%,215,82.7%
609815,BOUCHET,Network 12,646,15,2.3%,100,15.5%,541,83.7%
610323,BOWEN HS,Network 17,172,21,12.2%,59,34.3%,159,92.4%
609806,BRADWELL,Network 12,412,0,0.0%,55,13.3%,338,82.0%
610242,BRENNEMANN,Network 2,474,221,46.6%,104,21.9%,340,71.7%
609809,BRENTANO,Network 4,736,78,10.6%,85,11.5%,274,37.2%
609810,BRIDGE,Network 1,1105,370,33.5%,180,16.3%,577,52.2%
609811,BRIGHT,Network 13,201,45,22.4%,64,31.8%,164,81.6%
610317,BRIGHTON PARK,Network 8,285,160,56.1%,43,15.1%,233,81.8%
610590,BRONZEVILLE CLASSICAL,Network 9,423,1,0.2%,15,3.5%,82,19.4%
610381,BRONZEVILLE HS,Network 17,104,1,1.0%,29,27.9%,101,97.1%
609726,BROOKS HS,ISP,974,3,0.3%,80,8.2%,628,64.5%
610091,BROWN R,Network 13,289,0,0.0%,62,21.5%,242,83.7%
609812,BROWN W,Network 6,271,12,4.4%,85,31.4%,235,86.7%
609813,BROWNELL,Network 12,130,1,0.8%,11,8.5%,100,76.9%
609830,BRUNSON,Network 3,436,65,14.9%,102,23.4%,324,74.3%
609817,BUDLONG,ISP,728,269,37.0%,74,10.2%,373,51.2%
609818,BURBANK,Network 3,697,400,57.4%,142,20.4%,569,81.6%
609819,BURKE,Network 9,248,1,0.4%,45,18.1%,201,81.0%
609820,BURLEY,Network 4,496,6,1.2%,72,14.5%,51,10.3%
609821,BURNHAM,Network 13,418,8,1.9%,69,16.5%,351,84.0%
609827,BURNSIDE,Network 12,287,3,1.0%,62,21.6%,216,75.3%
609828,BURR,Network 6,447,41,9.2%,64,14.3%,116,26.0%
609829,BURROUGHS,Network 8,307,147,47.9%,56,18.2%,265,86.3%
609832,BYRNE,Network 10,580,89,15.3%,112,19.3%,278,47.9%
610353,CALMECA,Network 8,626,410,65.5%,138,22.0%,490,78.3%
609835,CAMERON,Network 5,618,309,50.0%,84,13.6%,497,80.4%
610539,CAMRAS,ISP,721,353,49.0%,126,17.5%,545,75.6%
609836,CANTY,Network 1,806,243,30.1%,151,18.7%,350,43.4%
610024,CARDENAS,ISP,766,326,42.6%,166,21.7%,627,81.9%
609837,CARNEGIE,Network 9,406,3,0.7%,58,14.3%,314,77.3%
609839,CARROLL,Network 10,408,24,5.9%,86,21.1%,308,75.5%
609842,CARSON,ISP,748,526,70.3%,65,8.7%,616,82.4%
609844,CARTER,Network 9,280,3,1.1%,28,10.0%,240,85.7%
609845,CARVER G,Network 13,467,0,0.0%,32,6.9%,403,86.3%
609760,CARVER MILITARY HS,Network 17,410,79,19.3%,58,14.1%,375,91.5%
610021,CASALS,Network 5,372,119,32.0%,52,14.0%,296,79.6%
609849,CASSELL,ISP,354,18,5.1%,93,26.3%,75,21.2%
610599,CATALPA,Network 1,181,42,23.2%,41,22.7%,5,2.8%
400021,CATALYST - CIRCLE ROCK,Charter,504,1,0.2%,67,13.3%,439,87.1%
400115,CATALYST - MARIA,Charter,546,136,24.9%,70,12.8%,484,88.6%
400182,CATALYST MARIA HS,Charter,557,179,32.1%,94,16.9%,521,93.5%
610251,CATHER,Network 5,323,4,1.2%,101,31.3%,282,87.3%
609851,CHALMERS,Network 5,224,5,2.2%,42,18.8%,196,87.5%
609852,CHAPPELL,Network 2,569,82,14.4%,99,17.4%,193,33.9%
609853,CHASE,Network 4,393,161,41.0%,114,29.0%,220,56.0%
610148,CHAVEZ,ISP,780,366,46.9%,95,12.2%,659,84.5%
400022,CHIARTS HS,Contract,604,43,7.1%,66,10.9%,360,59.6%
610248,CHICAGO ACADEMY ES,Network 1,559,200,35.8%,97,17.4%,369,66.0%
610340,CHICAGO ACADEMY HS,Network 14,561,151,26.9%,109,19.4%,473,84.3%
609753,CHICAGO AGRICULTURE HS,ISP,769,41,5.3%,184,23.9%,394,51.2%
400161,CHICAGO COLLEGIATE,Charter,245,1,0.4%,52,21.2%,218,89.0%
400147,CHICAGO EXCEL HS,Options,267,1,0.4%,27,10.1%,244,91.4%
400035,CHICAGO MATH & SCIENCE HS,Charter,617,237,38.4%,58,9.4%,549,89.0%
609754,CHICAGO MILITARY HS,Network 17,214,31,14.5%,29,13.6%,201,93.9%
400091,CHICAGO TECH HS,Contract,392,24,6.1%,84,21.4%,365,93.1%
609674,CHICAGO VOCATIONAL HS,Network 17,575,25,4.3%,185,32.2%,526,91.5%
610060,CHICAGO WORLD LANGUAGE ACADEMY,Network 6,453,63,13.9%,62,13.7%,182,40.2%
609854,CHOPIN,Network 5,300,101,33.7%,75,25.0%,243,81.0%
609855,CHRISTOPHER,Network 8,311,180,57.9%,177,56.9%,277,89.1%
400159,CHRISTOPHER HOUSE,Charter,430,188,43.7%,70,16.3%,333,77.4%
400023,CICS - AVALON/SOUTH SHORE,Charter,436,2,0.5%,62,14.2%,366,83.9%
400024,CICS - BASIL,Charter,488,51,10.5%,67,13.7%,435,89.1%
400092,CICS - BOND,Charter,258,0,0.0%,34,13.2%,224,86.8%
400025,CICS - BUCKTOWN,Charter,543,114,21.0%,95,17.5%,419,77.2%
400032,CICS - ELLISON HS,Charter,201,2,1.0%,42,20.9%,189,94.0%
400027,CICS - IRVING PARK,Charter,505,184,36.4%,61,12.1%,324,64.2%
400033,CICS - LONGWOOD,Charter,1217,7,0.6%,205,16.8%,1151,94.6%
400026,CICS - LOOMIS,Charter,351,2,0.6%,22,6.3%,228,65.0%
400034,CICS - NORTHTOWN HS,Charter,836,314,37.6%,180,21.5%,704,84.2%
400028,CICS - PRAIRIE,Charter,420,92,21.9%,54,12.9%,351,83.6%
400029,CICS - WASHINGTON PARK,Charter,483,1,0.2%,60,12.4%,413,85.5%
400030,CICS - WEST BELDEN,Charter,528,262,49.6%,64,12.1%,441,83.5%
400031,CICS - WRIGHTWOOD,Charter,626,3,0.5%,62,9.9%,522,83.4%
610347,CLAREMONT,Network 10,330,56,17.0%,88,26.7%,289,87.6%
609795,CLARK ES,ISP,141,24,17.0%,9,6.4%,99,70.2%
610244,CLARK HS,ISP,394,7,1.8%,85,21.6%,387,98.2%
609856,CLAY,Network 13,590,170,28.8%,66,11.2%,438,74.2%
609759,CLEMENTE HS,Network 15,753,324,43.0%,166,22.0%,568,75.4%
609857,CLEVELAND,Network 1,465,221,47.5%,150,32.3%,327,70.3%
609859,CLINTON,ISP,1037,704,67.9%,81,7.8%,760,73.3%
609861,CLISSOLD,Network 10,479,8,1.7%,93,19.4%,185,38.6%
610199,COLEMON,Network 13,178,4,2.2%,28,15.7%,123,69.1%
609862,COLES,Network 12,253,8,3.2%,44,17.4%,207,81.8%
610499,COLLINS HS,Network 15,213,0,0.0%,49,23.0%,209,98.1%
610170,COLUMBIA EXPLORERS,ISP,725,337,46.5%,148,20.4%,578,79.7%
609863,COLUMBUS,ISP,272,140,51.5%,16,5.9%,182,66.9%
609864,COOK,Network 11,279,7,2.5%,30,10.8%,226,81.0%
609866,COONLEY,Network 2,772,33,4.3%,111,14.4%,88,11.4%
609867,COOPER,Network 7,417,238,57.1%,67,16.1%,325,77.9%
609870,CORKERY,ISP,407,239,58.7%,80,19.7%,328,80.6%
609761,CORLISS HS,Network 17,275,10,3.6%,73,26.5%,254,92.4%
610355,COURTENAY,Network 2,303,138,45.5%,97,32.0%,190,62.7%
