School ID,School Name,Network,Total,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %
400009.0,Academy for Global Citizenship Charter School,Charter,466.0,156.22,33.5,59.44,12.74,294.89,63.36
400010.0,ACE Technical Charter School,Charter,380.0,23.0,6.17,72.33,19.24,364.67,95.96
400011.0,Alain Locke Charter School,Charter,448.33,0.33,0.07,50.56,11.72,364.78,81.14
400012.0,Amandla Charter School,Charter,323.0,9.0,2.79,72.0,22.29,309.0,95.67
400013.0,ASPIRA Charter School - Early College High School,Charter,339.78,129.89,40.09,81.67,24.14,305.56,89.18
400017.0,ASPIRA Charter School - Haugan Middle School,Charter,275.67,82.44,37.84,39.0,14.54,255.22,88.77
400018.0,Austin Business and Entrepreneurship Academy HS,Network 3,102.0,1.0,0.98,20.0,19.61,93.0,91.18
400019.0,Bronzeville Lighthouse Charter School,Charter,472.0,1.0,0.21,55.0,11.65,423.0,89.62
400021.0,Catalyst Elementary Charter School - Circle Rock,Charter,516.11,1.0,0.2,60.56,11.73,431.11,83.51
400022.0,CHIARTS HS,Contract,610.56,12.44,2.04,45.89,7.52,304.78,49.98
400023.0,CICS - Avalon/South Shore,Charter,463.22,4.25,0.91,52.44,11.35,376.67,81.56
400024.0,CICS - Basil,Charter,631.0,50.33,8.24,77.67,12.55,555.11,87.83
400025.0,CICS - Bucktown,Charter,668.67,131.56,19.73,87.22,13.16,484.11,72.59
400026.0,CICS - Loomis Primary,Charter,477.78,1.5,0.34,38.44,7.72,343.33,70.68
400027.0,CICS - Irving Park,Charter,538.44,145.33,27.14,67.89,12.59,316.56,58.88
400028.0,CICS - Prairie,Charter,418.67,102.22,24.41,51.33,12.25,360.89,86.22
400029.0,CICS - Washington Park,Charter,475.56,1.0,0.2,51.0,10.73,408.0,85.94
400030.0,CICS - West Belden,Charter,533.0,238.89,44.77,65.78,12.38,439.11,82.5
400031.0,CICS - Wrightwood,Charter,713.11,6.78,0.93,66.56,9.35,560.33,78.58
400032.0,CICS - Ralph Ellison,Charter,298.44,2.2,1.02,61.33,21.34,267.89,88.14
400033.0,CICS - Longwood,Charter,1217.0,8.67,0.68,222.0,17.21,1009.0,87.2
400034.0,CICS - Northtown,Charter,894.67,184.22,20.76,201.56,22.52,715.11,80.0
400035.0,Chicago Math and Science Academy Charter School,Charter,602.67,148.56,24.6,63.44,10.53,534.67,88.72
400036.0,Chicago Virtual Charter School,Charter,652.0,41.8,6.39,91.4,13.94,462.2,70.85
400038.0,Community Services West Academy,Options,95.0,,,8.0,8.42,76.0,80.0
400039.0,Erie Elementary Charter School,Charter,407.78,167.11,41.07,67.22,16.5,330.67,81.06
400040.0,Frazier Preparatory Academy Charter School,Charter,356.6,1.0,0.3,33.8,9.29,320.6,89.88
400041.0,Galapagos Charter School,Charter,333.0,3.0,0.9,39.0,11.71,289.0,86.79
400043.0,Hope Institute Learning Academy,Contract,308.75,9.38,3.23,84.5,28.56,248.75,80.48
400044.0,KIPP Ascend Charter School,Charter,887.67,10.11,1.13,107.67,12.16,777.89,87.91
400045.0,Kwame Nkrumah Academy Charter School,Charter,224.75,1.5,0.63,25.0,11.36,185.75,83.58
400046.0,L.E.A.R.N. - Romano Butler Campus,Charter,549.11,1.5,0.26,46.44,8.44,475.67,86.47
400047.0,L.E.A.R.N. - Charles and Dorothy Campbell Campus,Charter,407.56,4.89,1.21,39.78,9.8,358.67,87.8
400048.0,L.E.A.R.N. - Excel Campus,Charter,429.67,5.56,1.28,45.0,10.37,358.0,83.24
400049.0,Legacy Charter School,Charter,464.33,3.43,0.75,64.22,13.84,403.22,86.81
400050.0,Namaste Charter School,Charter,456.33,204.56,45.28,85.33,18.93,332.56,72.88
400051.0,Noble - Noble College Prep,Charter,664.0,100.44,14.99,95.33,14.32,537.0,81.06
400052.0,Noble - Gary Comer College Prep,Charter,1037.0,10.22,0.92,176.11,15.78,934.38,85.05
400053.0,Noble - Golder College Prep,Charter,658.11,105.78,16.12,109.11,16.57,571.22,86.85
400054.0,Noble - Pritzker College Prep,Charter,975.12,191.89,19.59,114.78,11.73,898.11,91.74
400055.0,Noble - Rauner College Prep,Charter,635.67,91.78,14.45,97.11,15.28,502.33,79.2
400056.0,Noble - Rowe-Clark Math and Science Academy,Charter,436.67,29.78,6.85,100.89,23.31,399.0,91.27
400057.0,Noble - UIC College Prep,Charter,925.75,99.11,10.6,136.0,14.56,776.78,83.27
400058.0,North Lawndale College Prep - Christiana,Charter,348.78,2.17,0.66,69.44,20.1,325.56,93.19
400059.0,North Lawndale College Prep - Collins,Charter,407.89,1.6,0.38,67.67,16.63,382.78,94.0
400060.0,Asian Human Services - Passages Charter School,Charter,393.56,163.22,41.98,39.78,10.16,294.22,74.64
400061.0,Perspectives - Leadership Academy,Charter,562.11,1.43,0.25,91.78,16.61,491.33,87.43
400062.0,Perspectives - High School of Technology,Charter,357.22,2.22,0.62,70.22,19.85,314.78,87.77
400064.0,Perspectives - Rodney D. Joslin,Charter,377.0,5.56,1.46,72.78,19.36,315.89,83.75
400066.0,Perspectives - Math and Science Academy,Charter,456.22,5.33,1.18,81.44,17.65,403.44,88.3
400068.0,Plato Learning Academy,Contract,290.78,0.5,0.13,27.33,9.27,261.0,88.35
400069.0,Polaris Charter Academy,Charter,409.11,4.89,1.21,60.11,14.69,348.22,84.98
400070.0,Prologue - Early College,Options,170.0,4.0,2.35,22.0,12.94,156.0,91.76
400071.0,Providence Englewood Charter School,Charter,464.89,5.38,1.13,46.0,9.87,381.67,82.11
400072.0,Betty Shabazz - Betty Shabazz,Charter,315.0,,,37.0,11.75,279.0,88.57
400073.0,Betty Shabazz - DuSable Leadership,Charter,51.0,,,12.0,23.53,48.0,94.12
400074.0,Betty Shabazz - Barbara A. Sizemore,Charter,269.0,,,24.0,8.92,251.0,93.31
400075.0,University of Chicago - Donoghue,Charter,513.0,8.44,1.74,30.78,6.09,378.89,73.78
