School ID,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification,School Name,Network_x,Total_x,Bilingual N,Bilingual %,SpED N,SpED %,Economically Disadvantaged N,Economically Disadvantaged %,Educational Unit,Network_y,Total_y,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
400068,4109,2656,1372,81,1047,45.9,489,22.0,356,10.5,18,558,23.6,401,9.5,26,13,0.7,11,0.2,Plato Learning Academy,Contract,290.78,0.5,0.13,27.33,9.27,261.0,88.35,Plato Learning Academy,Contract,325.36,0.11,0.02,321.0,98.69,0.0,0.0,0.0,0.0,3.91,1.16,0.0,0.0,0.22,0.04,0.0,0.0,0.22,0.1
400091,1528,593,540,395,964,93.7,315,23.5,244,6.6,16,649,69.7,502,15.0,37,25,4.8,24,0.4,Chicago Technology Academy High School,Contract,339.11,10.33,2.77,79.22,23.56,308.11,90.94,Chicago Technology Academy High School,Contract,346.91,6.73,2.31,272.0,76.77,0.0,0.0,0.89,0.24,63.0,19.37,1.55,0.38,2.56,0.76,0.45,0.06,0.4,0.12
400137,914,485,279,150,680,100.3,348,35.3,241,17.1,14,332,64.4,254,18.0,28,52,13.6,52,3.2,Little Black Pearl Art and Design Academy,Options,114.89,0.0,0.0,24.44,21.11,97.56,85.02,Little Black Pearl Art and Design Academy,Options,124.73,0.44,0.38,122.0,97.99,0.0,0.0,0.0,0.0,1.18,0.69,1.22,0.87,0.0,0.0,0.11,0.11,0.1,0.0
609674,3820,722,2056,1042,2527,101.3,467,20.3,423,4.4,18,2060,80.5,1581,17.8,38,1610,65.9,1251,13.5,Chicago Vocational Career Academy High School,Network 17,782.78,16.33,2.24,220.33,28.42,711.67,90.65,CHICAGO VOCATIONAL HS,Network 17,817.09,1.64,0.16,791.64,97.09,0.0,0.0,1.22,0.13,17.64,2.0,3.2,0.38,0.56,0.07,0.0,0.0,1.82,0.16
609676,13070,6279,6079,712,10567,91.3,6193,25.4,2036,20.5,16,4374,65.2,2209,29.5,40,253,9.7,234,3.2,Paul Laurence Dunbar Career Academy High School,Network 17,464.11,8.78,2.06,114.33,25.0,432.56,92.72,DUNBAR HS,Network 9,464.11,1.6,0.31,448.0,96.82,0.0,0.0,0.4,0.04,13.18,2.54,1.5,0.17,0.5,0.04,0.11,0.03,0.36,0.03
609678,1499,914,388,197,731,100.7,532,68.3,471,2.2,20,199,31.9,181,0.3,40,29,5.2,29,0.0,William Jones College Preparatory High School,ISP,1967.0,29.56,1.55,130.78,6.92,719.22,38.04,JONES HS,ISP,,629.91,35.3,246.73,14.74,1.89,0.12,5.27,0.28,530.27,29.16,60.27,3.38,249.82,12.78,10.55,0.63,49.55,3.67
609679,31943,29638,1944,361,2394,45.7,1302,18.0,1026,6.7,18,1092,27.0,824,5.0,30,110,0.9,99,0.2,Charles Allen Prosser Career Academy High School,Network 15,1170.0,135.67,11.03,165.0,13.03,1062.0,89.77,Charles Allen Prosser Career Academy High School,Network 3,,33.55,2.66,273.27,20.46,0.0,0.0,5.73,0.47,937.14,75.61,4.09,0.31,4.82,0.39,1.0,0.08,0.3,0.02
609680,519,236,218,65,233,73.6,128,31.4,110,0.8,18,105,41.4,103,0.5,30,3,0.7,3,0.0,Walter Payton College Preparatory High School,ISP,1042.0,12.0,1.03,70.89,6.18,345.22,30.5,PAYTON HS,ISP,896.5,447.09,42.34,124.0,12.47,0.22,0.02,3.0,0.32,246.64,22.19,48.36,4.6,203.27,16.59,5.36,0.51,8.11,0.98
609682,9856,6662,2759,435,3450,68.0,1694,29.7,992,37.7,19,1756,37.6,1082,38.9,20,308,6.5,227,7.3,Ellen H Richards Career Academy High School,Network 16,247.11,79.0,31.87,57.22,23.19,221.44,89.7,Ellen H Richards Career Academy High School,Network 16,269.36,1.27,0.5,109.64,41.71,0.0,0.0,0.82,0.16,152.27,56.3,0.44,0.16,0.22,0.07,0.0,0.0,4.82,1.11
609691,15825,11719,3096,1010,10592,127.7,7713,92.2,3844,39.3,19,2879,34.8,1938,19.2,41,44,0.1,44,0.0,North-Grand High School,Network 15,987.4,267.33,26.21,183.44,18.08,927.89,91.55,NORTH-GRAND HS,Network 5,953.83,8.64,0.82,155.82,14.76,0.0,0.0,4.36,0.4,821.64,83.42,3.0,0.29,2.55,0.23,0.55,0.02,0.4,0.03
