Network,School ID,Educational Unit,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
Network 1,610212,Albany Park Multicultural Academy,  252 ,14,5.6,12,4.8,0,0.0,0,0.0,203,80.6,5,2.0,18,7.1,0,0.0,0,0.0
Network 1,610209,Alessandro Volta Elementary School,  797 ,37,4.6,18,2.3,0,0.0,0,0.0,514,64.5,3,0.4,161,20.2,1,0.1,63,7.9
Network 1,609836,Arthur E Canty Elementary School,  804 ,392,48.8,20,2.5,0,0.0,1,0.1,334,41.5,15,1.9,23,2.9,0,0.0,19,2.4
Network 1,610083,Daniel C Beard Elementary School,  245 ,87,35.5,13,5.3,0,0.0,1,0.4,95,38.8,7,2.9,41,16.7,1,0.4,0,0.0
Network 1,609901,Edgebrook Elementary School,  508 ,330,65.0,8,1.6,0,0.0,0,0.0,93,18.3,31,6.1,45,8.9,1,0.2,0,0.0
Network 1,610523,Edison Park Elementary School,  562 ,404,71.9,4,0.7,0,0.0,1,0.2,113,20.1,9,1.6,24,4.3,0,0.0,7,1.2
Network 1,610137,Ernst Prussing Elementary School,  721 ,315,43.7,12,1.7,0,0.0,3,0.4,334,46.3,10,1.4,40,5.5,7,1.0,0,0.0
Network 1,609874,Everett McKinley Dirksen Elementary School,  941 ,645,68.5,19,2.0,0,0.0,1,0.1,112,11.9,11,1.2,132,14.0,3,0.3,18,1.9
Network 1,610163,Frederick Stock Elementary School,  260 ,91,35.0,1,0.4,0,0.0,0,0.0,35,13.5,2,0.8,6,2.3,1,0.4,124,47.7
Network 1,609857,Grover Cleveland Elementary School,  538 ,58,10.8,22,4.1,0,0.0,5,0.9,414,77.0,9,1.7,29,5.4,1,0.2,0,0.0
Network 1,610182,Hannah G Solomon Elementary School,  365 ,146,40.0,22,6.0,0,0.0,0,0.0,68,18.6,5,1.4,124,34.0,0,0.0,0,0.0
Network 1,609972,Helge A Haugan Elementary School,  966 ,59,6.1,39,4.0,0,0.0,1,0.1,806,83.4,6,0.6,53,5.5,1,0.1,1,0.1
Network 1,609798,Hiram H Belding Elementary School,  596 ,271,45.5,32,5.4,0,0.0,3,0.5,239,40.1,22,3.7,21,3.5,8,1.3,0,0.0
Network 1,609912,James B Farnsworth Elementary School,  613 ,233,38.0,14,2.3,0,0.0,2,0.3,263,42.9,11,1.8,86,14.0,4,0.7,0,0.0
Network 1,609796,Jean Baptiste Beaubien Elementary School,"  1,050 ",392,37.3,15,1.4,0,0.0,2,0.2,375,35.7,71,6.8,180,17.1,7,0.7,8,0.8
Network 1,610089,John B Murphy Elementary School,  573 ,117,20.4,16,2.8,0,0.0,1,0.2,392,68.4,16,2.8,30,5.2,1,0.2,0,0.0
Network 1,609937,John W Garvy Elementary School,  805 ,459,57.0,8,1.0,0,0.0,3,0.4,251,31.2,26,3.2,40,5.0,18,2.2,0,0.0
Network 1,610159,Jonathan Y Scammon Elementary School,  720 ,50,6.9,12,1.7,0,0.0,3,0.4,644,89.4,3,0.4,8,1.1,0,0.0,0,0.0
Network 1,610127,Mary Gage Peterson Elementary School,  906 ,257,28.4,57,6.3,0,0.0,5,0.6,351,38.7,29,3.2,195,21.5,3,0.3,9,1.0
