School ID,Educational Unit,Network,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
609772, ADDAMS , ISP ,  553 ,  18 ,3.3%,  18 ,3.3%,  - ,0.0%,  - ,0.0%,  517 ,93.5%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
610513, AIR FORCE HS , Network 16 ,  142 ,  7 ,4.9%,  79 ,55.6%,  - ,0.0%,  - ,0.0%,  54 ,38.0%,  - ,0.0%,  1 ,0.7%,  1 ,0.7%,  - ,0.0%
610212, ALBANY PARK , Network 1 ,  221 ,  12 ,5.4%,  11 ,5.0%,  - ,0.0%,  2 ,0.9%,  186 ,84.2%,  1 ,0.5%,  9 ,4.1%,  - ,0.0%,  - ,0.0%
609774, ALCOTT ES , Network 4 ,  602 ,  351 ,58.3%,  32 ,5.3%,  - ,0.0%,  2 ,0.3%,  91 ,15.1%,  48 ,8.0%,  77 ,12.8%,  1 ,0.2%,  - ,0.0%
610524, ALCOTT HS , Network 15 ,  346 ,  46 ,13.3%,  59 ,17.1%,  - ,0.0%,  4 ,1.2%,  228 ,65.9%,  4 ,1.2%,  4 ,1.2%,  1 ,0.3%,  - ,0.0%
609848, ALDRIDGE , Network 13 ,  234 ,  - ,0.0%,  226 ,96.6%,  - ,0.0%,  - ,0.0%,  8 ,3.4%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609695, AMUNDSEN HS , ISP ,"  1,497 ",  546 ,36.5%,  116 ,7.7%,  - ,0.0%,  6 ,0.4%,  649 ,43.4%,  70 ,4.7%,  106 ,7.1%,  4 ,0.3%,  - ,0.0%
609951, ARIEL , Network 9 ,  354 ,  1 ,0.3%,  342 ,96.6%,  - ,0.0%,  - ,0.0%,  9 ,2.5%,  2 ,0.6%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609777, ARMOUR , ISP ,  248 ,  21 ,8.5%,  29 ,11.7%,  - ,0.0%,  1 ,0.4%,  178 ,71.8%,  8 ,3.2%,  10 ,4.0%,  1 ,0.4%,  - ,0.0%
609779, ARMSTRONG G , ISP ,"  1,258 ",  112 ,8.9%,  350 ,27.8%,  - ,0.0%,  7 ,0.6%,  473 ,37.6%,  35 ,2.8%,  281 ,22.3%,  - ,0.0%,  - ,0.0%
