School ID,School ID,Network,Total,White No,White Pct,African American No,African American Pct,"Asian/
Pacific Islander No","Asian/
Pacific Islander Pct","Native American/
Alaskan No","Native American/
Alaskan Pct",Hispanic No,Hispanic Pct,Mulit-Racial No,Mulit-Racial Pct,Asian No,Asian Pct,"Hawaiian/
Pacific Islander No","Hawaiian/
Pacific Islander Pct","Not 
Available No","Not 
Available Pct"
400153, ACERO - BRIGHTON PARK , Charter ,  466 ,  - ,0.0%,  4 ,0.9%,  - ,0.0%,  - ,0.0%,  462 ,99.1%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
400101, ACERO - CISNEROS , Charter ,  353 ,  6 ,1.7%,  1 ,0.3%,  - ,0.0%,  - ,0.0%,  346 ,98.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
400120, ACERO - CLEMENTE , Charter ,  466 ,  4 ,0.9%,  33 ,7.1%,  - ,0.0%,  - ,0.0%,  422 ,90.6%,  1 ,0.2%,  - ,0.0%,  2 ,0.4%,  4 ,0.9%
400121, ACERO - DE LA CRUZ , Charter ,  497 ,  14 ,2.8%,  242 ,48.7%,  - ,0.0%,  3 ,0.6%,  221 ,44.5%,  12 ,2.4%,  5 ,1.0%,  - ,0.0%,  - ,0.0%
400081, ACERO - DE LAS CASAS , Charter ,  223 ,  1 ,0.4%,  6 ,2.7%,  - ,0.0%,  - ,0.0%,  215 ,96.4%,  - ,0.0%,  1 ,0.4%,  - ,0.0%,  - ,0.0%
400082, ACERO - FUENTES , Charter ,  394 ,  - ,0.0%,  6 ,1.5%,  - ,0.0%,  - ,0.0%,  387 ,98.2%,  - ,0.0%,  - ,0.0%,  1 ,0.3%,  - ,0.0%
400085, ACERO - GARCIA HS , Charter ,  623 ,  12 ,1.9%,  3 ,0.5%,  - ,0.0%,  1 ,0.2%,  605 ,97.1%,  1 ,0.2%,  1 ,0.2%,  - ,0.0%,  - ,0.0%
400112, ACERO - IDAR , Charter ,  524 ,  5 ,1.0%,  2 ,0.4%,  - ,0.0%,  - ,0.0%,  517 ,98.7%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
400089, ACERO - MARQUEZ , Charter ,  517 ,  4 ,0.8%,  3 ,0.6%,  - ,0.0%,  - ,0.0%,  510 ,98.6%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
400083, ACERO - PAZ , Charter ,  125 ,  1 ,0.8%,  2 ,1.6%,  - ,0.0%,  - ,0.0%,  122 ,97.6%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
400114, ACERO - SANTIAGO , Charter ,  221 ,  3 ,1.4%,  18 ,8.1%,  - ,0.0%,  1 ,0.5%,  195 ,88.2%,  - ,0.0%,  2 ,0.9%,  - ,0.0%,  2 ,0.9%
400149, ACERO - SOTO HS , Charter ,  565 ,  3 ,0.5%,  1 ,0.2%,  - ,0.0%,  1 ,0.2%,  560 ,99.1%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
400084, ACERO - TAMAYO , Charter ,  269 ,  - ,0.0%,  1 ,0.4%,  - ,0.0%,  1 ,0.4%,  267 ,99.3%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
400080, ACERO - TORRES , Charter ,  544 ,  3 ,0.6%,  4 ,0.7%,  - ,0.0%,  - ,0.0%,  536 ,98.5%,  1 ,0.2%,  - ,0.0%,  - ,0.0%,  - ,0.0%
400079, ACERO - ZIZUMBO , Charter ,  531 ,  14 ,2.6%,  2 ,0.4%,  - ,0.0%,  - ,0.0%,  512 ,96.4%,  - ,0.0%,  3 ,0.6%,  - ,0.0%,  - ,0.0%
609772, ADDAMS , Network 13 ,  531 ,  17 ,3.2%,  15 ,2.8%,  - ,0.0%,  - ,0.0%,  498 ,93.8%,  1 ,0.2%,  - ,0.0%,  - ,0.0%,  - ,0.0%
400060, AHS - PASSAGES , Charter ,  353 ,  28 ,7.9%,  137 ,38.8%,  - ,0.0%,  - ,0.0%,  81 ,22.9%,  14 ,4.0%,  93 ,26.3%,  - ,0.0%,  - ,0.0%
610513, AIR FORCE HS , Network 16 ,  118 ,  3 ,2.5%,  68 ,57.6%,  - ,0.0%,  - ,0.0%,  44 ,37.3%,  2 ,1.7%,  - ,0.0%,  1 ,0.8%,  - ,0.0%
610212, ALBANY PARK , Network 1 ,  228 ,  9 ,3.9%,  6 ,2.6%,  - ,0.0%,  5 ,2.2%,  192 ,84.2%,  4 ,1.8%,  12 ,5.3%,  - ,0.0%,  - ,0.0%
609774, ALCOTT ES , Network 4 ,  572 ,  315 ,55.1%,  37 ,6.5%,  - ,0.0%,  1 ,0.2%,  92 ,16.1%,  48 ,8.4%,  78 ,13.6%,  1 ,0.2%,  - ,0.0%
610524, ALCOTT HS , Network 15 ,  371 ,  61 ,16.4%,  63 ,17.0%,  - ,0.0%,  3 ,0.8%,  235 ,63.3%,  5 ,1.3%,  3 ,0.8%,  1 ,0.3%,  - ,0.0%
609848, ALDRIDGE , Network 13 ,  242 ,  - ,0.0%,  203 ,83.9%,  - ,0.0%,  - ,0.0%,  39 ,16.1%,  - ,0.0%,  - ,0.0%,  - ,0.0%,  - ,0.0%
609695, AMUNDSEN HS , Network 14 ,"  1,503 ",  627 ,41.7%,  106 ,7.1%,  - ,0.0%,  5 ,0.3%,  593 ,39.5%,  68 ,4.5%,  99 ,6.6%,  5 ,0.3%,  - ,0.0%
609951, ARIEL , Network 9 ,  354 ,  1 ,0.3%,  340 ,96.0%,  - ,0.0%,  - ,0.0%,  9 ,2.5%,  4 ,1.1%,  - ,0.0%,  - ,0.0%,  - ,0.0%
